"id","land_types_full_name","land_types"
1,"Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)","ОЖБ"
2,"Для ведення особистого селянського господарства та подібні","ОСГ"
3,"Для індивідуального та колективного садівництва та дачного будівництва","Cадова"
4,"Під комерційну діяльність та інші, що не увійшли в решту груп","Комерційна"
5,"Під багатоквартирний будинок","Багатоповерхова"
6,"Для ведення  товарного сільського господарства та подібні","Товарна"
7,"Одна із ділянок під ОЖБ, а одна під ОСГ","ОЖБ та ОСГ"
